village,interview_date,quest_no,start,end,province,district,ward,years_farm,agr_assoc,no_membrs,_members_count,remittance_money,years_liv,parents_liv,sp_parents_liv,grand_liv,sp_grand_liv,respondent_roof_type,respondent_wall_type,respondent_wall_type_other,respondent_floor_type,window_type,buildings_in_compound,rooms,other_buildings,no_plots,plots_count,water_use,no_group_count,yes_group_count,no_enough_water,months_no_water,period_use,exper_other,other_meth,res_change,memb_assoc,resp_assoc,fees_water,affect_conflicts,need_money,money_source,money_source_other,crops_contr,emply_lab,du_labour,liv_owned,liv_owned_other,liv_count,poultry,du_look_aftr_cows,items_owned,items_owned_other,no_meals,months_lack_food,no_food_mitigation,gps_Latitude,gps_Longitude,gps_Altitude,gps_Accuracy,instanceID
God,2016-11-17T00:00:00Z,3,2017-04-02T14:35:26.000Z,2017-04-02T17:26:53.000Z,Manica,Manica,Bandula,40,no,10,10,no,15,no,no,no,no,mabatisloping,burntbricks,NULL,cement,yes,1,1,no,1,1,no,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,no,yes,none,NULL,1,yes,no,solar_torch,NULL,2,Jan;Feb;Mar;Oct;Nov;Dec,na;restrict_adults;lab_ex_food,-19.1121076,33.48344998,674,13,uuid:193d7daf-9582-409b-bf09-027dd36f9007
God,2016-11-17T00:00:00Z,4,2017-04-02T14:55:18.000Z,2017-04-02T17:27:16.000Z,Manica,Manica,Bandula,6,no,7,7,no,6,no,no,no,no,mabatisloping,burntbricks,NULL,earth,no,1,1,no,3,3,no,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,no,yes,oxen;cows,NULL,2,yes,no,bicycle;radio;cow_plough;solar_panel;mobile_phone,NULL,2,Sept;Oct;Nov;Dec,na;reduce_meals;restrict_adults;lab_ex_food,-19.11222901,33.48342395,679,5,uuid:148d1105-778a-4755-aa71-281eadd4a973
Chirodzo,2016-11-16T00:00:00Z,8,2017-04-02T15:59:52.000Z,2017-04-02T17:28:39.000Z,Manica,Manica,Manica,16,yes,12,12,no,70,yes,yes,yes,yes,mabatisloping,burntbricks,NULL,cement,no,2,3,yes,2,2,yes,NULL,2,yes,Sept;Oct,10,yes,no,NULL,yes,yes,no,never,no,NULL,NULL,abt_half,yes,no,oxen;goats,NULL,2,yes,no,motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table;fridge,NULL,2,Jan,rely_less_food;limit_variety;reduce_meals;restrict_adults;borrow_food,-19.11215963,33.48341914,700,9,uuid:d6cee930-7be1-4fd9-88c0-82a08f90fb5a
Chirodzo,2016-12-16T00:00:00Z,10,2017-04-02T17:03:28.000Z,2017-04-02T17:25:11.000Z,Manica,Manica,Bandula,22,no,12,12,no,23,no,no,no,no,mabatisloping,burntbricks,NULL,cement,yes,1,5,no,2,2,yes,NULL,2,yes,Sept;Oct;Nov,22,yes,no,NULL,no,NULL,no,never,no,NULL,NULL,more_half,yes,no,oxen;cows,NULL,2,yes,no,cow_cart;motorcyle;bicycle;television;radio;cow_plough;solar_panel;solar_torch;table,NULL,3,Jan;Oct;Nov;Dec,rely_less_food;limit_portion;restrict_adults;lab_ex_food,-19.1122147,33.48339436,710,14,uuid:8f4e49bc-da81-4356-ae34-e0d794a23721
God,2016-11-21T00:00:00Z,12,2017-04-03T03:31:13.000Z,2017-04-03T03:58:34.000Z,Manica,Manica,Bandula,20,no,7,7,yes,20,no,no,no,no,mabatisloping,burntbricks,NULL,cement,no,2,3,no,2,2,yes,NULL,2,yes,Aug;Sept;Oct;Nov,20,yes,no,NULL,yes,no,no,never,no,NULL,NULL,more_half,no,no,oxen;cows,NULL,2,yes,no,cow_cart;bicycle;radio;cow_plough;table,NULL,3,Sept;Oct,rely_less_food;limit_variety;reduce_meals;lab_ex_food,-19.11229465,33.48341504,696,13,uuid:e6ee6269-b467-4e37-91fc-5e9eaf934557
God,2016-11-21T00:00:00Z,19,2017-04-03T12:40:14.000Z,2017-04-03T12:53:29.000Z,Manica,Manica,Bandula,20,yes,9,9,no,23,yes,yes,yes,yes,mabatisloping,burntbricks,NULL,earth,no,1,2,yes,2,2,no,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,yes,yes,oxen;goats,NULL,2,yes,no,bicycle;radio;cow_plough;solar_panel;solar_torch;mobile_phone,NULL,3,Oct;Nov;Dec,rely_less_food;limit_portion;lab_ex_food;seek_government,-19.11142642,33.47640837,716,30,uuid:e32f2dc0-0d05-42fb-8e21-605757ddf07d
God,2016-11-21T00:00:00Z,21,2017-04-03T14:24:58.000Z,2017-04-03T14:44:39.000Z,Manica,Manica,Bandula,20,yes,8,8,no,20,no,yes,no,yes,mabatisloping,burntbricks,NULL,cement,no,1,1,no,4,4,yes,NULL,4,yes,Oct,20,yes,no,NULL,no,NULL,no,never,no,NULL,NULL,less_half,no,yes,oxen;cows;goats,NULL,3,yes,no,NULL,NULL,2,Jan;Feb;Mar;Oct;Nov;Dec,rely_less_food;restrict_adults;day_night_hungry;lab_ex_food,-19.11155014,33.47623134,707,20,uuid:6570a7d0-6a0b-452c-aa2e-922500e35749
Ruaca,2016-11-21T00:00:00Z,23,2017-04-03T16:41:04.000Z,2017-04-03T17:04:28.000Z,Manica,Manica,Bandula,12,yes,10,10,no,20,no,no,no,no,mabatisloping,burntbricks,NULL,cement,yes,1,4,yes,2,2,no,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,yes,no,oxen;cows;goats,NULL,3,yes,no,cow_cart;bicycle;television;radio;cow_plough;solar_panel;electricity;mobile_phone,NULL,3,none,na,-19.11219352,33.4833833,699,10,uuid:58b37b6d-d6cd-4414-8790-b9c68bca98de
Ruaca,2016-11-21T00:00:00Z,24,2017-04-03T17:19:49.000Z,2017-04-03T17:43:01.000Z,Manica,Manica,Bandula,8,no,6,6,no,4,no,no,no,no,mabatisloping,burntbricks,NULL,cement,yes,2,2,yes,3,3,yes,NULL,3,yes,Sept;Oct,8,yes,no,NULL,no,NULL,no,never,no,NULL,NULL,less_half,yes,no,oxen;cows;goats,NULL,3,no,no,radio;table;sofa_set;mobile_phone,NULL,2,Nov;Dec,lab_ex_food,-19.11218803,33.48343475,745,11,uuid:661457d3-7e61-45e8-a238-7415e7548f82
Ruaca,2016-11-21T00:00:00Z,25,2017-04-04T04:01:58.000Z,2017-04-04T04:29:47.000Z,Manica,Manica,Bandula,10,yes,11,11,no,6,no,no,no,no,mabatisloping,burntbricks,NULL,cement,no,2,3,yes,3,3,yes,NULL,3,yes,Aug;Sept,10,yes,no,NULL,no,NULL,no,never,yes,['business' ;  'non_farm_prod'],NULL,more_half,yes,no,oxen;cows,NULL,2,yes,no,cow_cart;motorcyle;television;radio;cow_plough;solar_panel;solar_torch;table;sofa_set;mobile_phone,NULL,2,Jan;Feb;Oct,na,-19.11223416,33.4834841,698,11,uuid:45ed84c4-114e-4df0-9f5d-c800806c2bee
